		LC	TFT ID	編號	位置	AXO Gap
T19BR001NB25-1	1	LCT-17-1336	T19BR001NB25	1-25	1	2.21 
T19BR001NB25-2	2	LCT-17-1336	T19BR001NB25	1-25	2	2.28 
T19BR001NB25-3	3	LCT-17-1336	T19BR001NB25	1-25	3	2.19 
T19BR001NB25-4	4	LCT-17-1336	T19BR001NB25	1-25	4	2.25 
T19BR001NB25-5	5	LCT-17-1336	T19BR001NB25	1-25	5	2.17 
T19BR001NB25-6	6	LCT-17-1336	T19BR001NB25	1-25	6	2.20 
T19BR001NB2H-1	7	LCT-17-1336	T19BR001NB2H	1-27	1	2.30 
T19BR001NB2H-2	8	LCT-17-1336	T19BR001NB2H	1-27	2	2.34 
T19BR001NB2H-3	9	LCT-17-1336	T19BR001NB2H	1-27	3	2.32 
T19BR001NB2H-4	10	LCT-17-1336	T19BR001NB2H	1-27	4	2.33 
T19BR001NB2H-5	11	LCT-17-1336	T19BR001NB2H	1-27	5	2.33 
T19BR001NB2H-6	12	LCT-17-1336	T19BR001NB2H	1-27	6	2.31 
T19BR001NC2A-1	31	LCT-17-1336	T19BR001NC2A	2-20	1	2.78 
T19BR001NC2A-2	32	LCT-17-1336	T19BR001NC2A	2-20	2	2.79 
T19BR001NC2A-3	33	LCT-17-1336	T19BR001NC2A	2-20	3	2.75 
T19BR001NC2A-4	34	LCT-17-1336	T19BR001NC2A	2-20	4	2.78 
T19BR001NC2A-5	35	LCT-17-1336	T19BR001NC2A	2-20	5	2.78 
T19BR001NC2A-6	36	LCT-17-1336	T19BR001NC2A	2-20	6	2.75 
T19BR001NC26-1	37	LCT-17-1336	T19BR001NC26	2-31	1	2.73 
T19BR001NC26-2	38	LCT-17-1336	T19BR001NC26	2-31	2	2.74 
T19BR001NC26-3	39	LCT-17-1336	T19BR001NC26	2-31	3	2.74 
T19BR001NC26-4	40	LCT-17-1336	T19BR001NC26	2-31	4	2.70 
T19BR001NC26-5	41	LCT-17-1336	T19BR001NC26	2-31	5	2.72 
T19BR001NC26-6	42	LCT-17-1336	T19BR001NC26	2-31	6	2.71 
T19BR001NC2U-1	43	LCT-17-1336	T19BR001NC2U	2-35	1	2.87 
T19BR001NC2U-2	44	LCT-17-1336	T19BR001NC2U	2-35	2	2.87 
T19BR001NC2U-3	45	LCT-17-1336	T19BR001NC2U	2-35	3	2.90 
T19BR001NC2U-4	46	LCT-17-1336	T19BR001NC2U	2-35	4	2.88 
T19BR001NC2U-5	47	LCT-17-1336	T19BR001NC2U	2-35	5	2.86 
T19BR001NC2U-6	48	LCT-17-1336	T19BR001NC2U	2-35	6	2.86 
