Data,M_Time,ID,Point,Station,Operator,Voltage,I.Time,AR_T%(¡æ),AR_T%(//),LCM_X%,LCM_Y%,LCM_Z%,RX,RY,RZ,GX,GY,GZ,BX,BY,BZ,WX,WY,WZ,CG%,R_x,R_y,G_x,G_y,B_x,B_y,W_x,W_y,RX_max,GY_max,BZ_max,V_RX_max,V_GY_max,V_BZ_max,WX',WY',WZ',W_x',W_x',LCM_X%max,LCM_Y%max,LCM_Z%max,£p_(Ymax),£p_(Ymax),£p_(Zmax),£p_tol_X,£p_tol_Y,£p_tol_Z,T0/Tmax_X,T0/Tmax_Y,T0/Tmax_Z,Vcri_X,Vcri_Y,Vcri_Z,d£p_X,d£p_Y,d£p_Z,
2020/10/21,13:45:11,T19BR001NJ29,1,AOI-03,11067785,0.00,8,0.001203,0.528380,0.001897,0.002261,0.000261,0.7576,0.4136,0.0041,0.7285,1.2236,0.0407,0.0654,0.0720,0.2637,1.5516,1.7093,0.3085,55.0801,0.6446,0.3519,0.3656,0.6140,0.1631,0.1796,0.4347,0.4789,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,160.6489,65.5286,842.0233,0.1504,0.0613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:12,T19BR001NJ29,1,AOI-03,11067785,0.40,8,0.001085,0.528380,0.001734,0.002038,0.000320,0.6513,0.3619,0.0045,0.6710,1.0987,0.0374,0.0766,0.0661,0.3356,1.3989,1.5267,0.3774,56.7281,0.6399,0.3556,0.3713,0.6080,0.1602,0.1381,0.4235,0.4622,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,160.4850,65.3519,842.0203,0.1503,0.0612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:13,T19BR001NJ29,1,AOI-03,11067785,0.80,8,0.001117,0.528380,0.001655,0.002102,0.000169,0.6189,0.3400,0.0025,0.6828,1.1816,0.0385,0.0459,0.0699,0.1645,1.3477,1.5915,0.2055,49.9435,0.6437,0.3537,0.3588,0.6210,0.1637,0.2493,0.4285,0.5061,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,160.4645,65.4130,842.0194,0.1503,0.0613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:14,T19BR001NJ29,1,AOI-03,11067785,1.20,8,0.001220,0.528380,0.001954,0.002293,0.000322,0.8043,0.4338,0.0047,0.7285,1.2361,0.0411,0.0793,0.0732,0.3319,1.6121,1.7431,0.3776,58.6035,0.6472,0.3491,0.3632,0.6163,0.1637,0.1511,0.4319,0.4670,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,160.6955,65.5612,842.0242,0.1504,0.0614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:15,T19BR001NJ29,1,AOI-03,11067785,1.60,8,0.001350,0.528380,0.002075,0.002540,0.000354,0.7517,0.4155,0.0051,0.8340,1.4062,0.0496,0.0860,0.0862,0.3625,1.6717,1.9078,0.4171,56.3465,0.6412,0.3544,0.3642,0.6141,0.1609,0.1612,0.4183,0.4774,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,160.7484,65.7130,842.0331,0.1504,0.0615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:16,T19BR001NJ29,1,AOI-03,11067785,2.00,8,0.001597,0.528380,0.002600,0.003007,0.000907,0.9671,0.5248,0.0126,0.9483,1.6399,0.0943,0.1986,0.1292,0.9601,2.1140,2.2939,1.0670,63.2561,0.6428,0.3488,0.3535,0.6113,0.1542,0.1003,0.3861,0.4190,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,161.0782,66.0560,842.0854,0.1507,0.0618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:17,T19BR001NJ29,1,AOI-03,11067785,2.40,8,0.002215,0.528380,0.003683,0.004168,0.001406,1.3479,0.7271,0.0194,1.3268,2.2621,0.1204,0.3085,0.1705,1.4972,2.9831,3.1597,1.6370,64.0474,0.6436,0.3472,0.3577,0.6099,0.1561,0.0863,0.3834,0.4061,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,161.8374,66.8805,842.1182,0.1511,0.0625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:18,T19BR001NJ29,1,AOI-03,11067785,2.80,8,0.003417,0.528380,0.005810,0.006443,0.003165,2.0896,1.1117,0.0424,1.9594,3.5258,0.2532,0.6729,0.3300,3.3881,4.7220,4.9676,3.6837,67.7590,0.6442,0.3427,0.3415,0.6144,0.1533,0.0752,0.3531,0.3715,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,163.2118,68.5289,842.2741,0.1520,0.0638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:19,T19BR001NJ29,1,AOI-03,11067785,3.20,8,0.005314,0.528380,0.008998,0.010034,0.005831,3.0219,1.6102,0.0779,3.0096,5.5914,0.4534,1.2277,0.5744,6.2475,7.2593,7.7760,6.7788,69.0471,0.6416,0.3419,0.3324,0.6175,0.1525,0.0714,0.3328,0.3565,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,165.1944,71.0929,842.5097,0.1531,0.0659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2020/10/21,13:45:20,T19BR001NJ29,1,AOI-03,11067785,3.60,8,0.009474,0.528380,0.016583,0.017906,0.012714,5.5536,2.9336,0.1707,5.2201,9.8764,1.0747,2.6161,1.1861,13.5954,13.3898,13.9961,14.8408,69.4593,0.6414,0.3388,0.3228,0.6107,0.1504,0.0682,0.3171,0.3315,236.4217,447.8074,841.9784,12.8000,13.6000,15.6000,169.9364,76.7013,843.2239,0.1559,0.0704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
